                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.222,                 1.0121,                 1.4511,                0.88891,                0.92441,                0.96195,                0.67783,                 1.0806,                0.68604,                 1.3955,               0.006634,               0.006634,               0.006634
                     36,                 1.2161,                 1.0439,                 1.4599,                0.88819,                0.93775,                0.96325,                0.68019,                  1.072,                0.64787,                 1.3851,               0.006535,               0.006535,               0.006535
                     37,                 1.2018,                0.98756,                 1.4495,                0.91452,                0.91688,                0.95813,                0.67108,                 1.0867,                0.68253,                 1.3552,               0.006436,               0.006436,               0.006436
                     38,                 1.1545,                0.97657,                 1.4129,                0.86634,                0.93133,                0.95477,                0.67552,                 1.0637,                  0.674,                  1.395,               0.006337,               0.006337,               0.006337
                     39,                 1.1644,                0.97771,                 1.4228,                0.90876,                0.92735,                0.96633,                0.69125,                 1.0344,                0.63913,                 1.3634,               0.006238,               0.006238,               0.006238
                     40,                 1.1487,                0.91766,                 1.4213,                0.94149,                0.92097,                0.96939,                0.70786,                 1.0208,                0.59821,                 1.3378,               0.006139,               0.006139,               0.006139
                     41,                 1.1671,                0.91874,                 1.4276,                0.92979,                0.94296,                0.97521,                0.71225,                0.98907,                0.58851,                 1.3553,                0.00604,                0.00604,                0.00604
                     42,                 1.1386,                0.89969,                 1.4144,                 0.9118,                0.95275,                0.96712,                0.70795,                0.96878,                0.61684,                 1.3485,               0.005941,               0.005941,               0.005941
                     43,                 1.1371,                0.91247,                 1.4056,                0.91103,                0.91877,                0.96807,                0.70672,                0.99799,                0.60264,                 1.3785,               0.005842,               0.005842,               0.005842
                     44,                 1.0857,                0.87593,                 1.3865,                0.93933,                0.93275,                0.97788,                0.71612,                0.98558,                0.57495,                 1.3635,               0.005743,               0.005743,               0.005743
                     45,                 1.1375,                0.88338,                 1.4055,                0.93734,                0.95604,                0.97377,                0.71949,                0.98981,                0.56101,                 1.3394,               0.005644,               0.005644,               0.005644
                     46,                 1.1187,                0.87495,                 1.4034,                0.92289,                0.94479,                0.97462,                0.72277,                0.95578,                0.57257,                 1.3188,               0.005545,               0.005545,               0.005545
                     47,                 1.0963,                0.87421,                 1.3855,                0.94423,                0.92536,                  0.975,                0.72291,                0.97502,                0.57154,                 1.3094,               0.005446,               0.005446,               0.005446
                     48,                 1.0972,                0.85867,                 1.3749,                0.95319,                0.94689,                0.97736,                0.73343,                0.94793,                 0.5336,                 1.3191,               0.005347,               0.005347,               0.005347
                     49,                 1.0733,                0.83723,                 1.3754,                0.93465,                 0.9595,                0.97683,                0.74506,                0.91929,                0.52637,                 1.2817,               0.005248,               0.005248,               0.005248
                     50,                 1.0816,                0.85945,                 1.3713,                0.90647,                0.96302,                0.97578,                 0.7302,                  0.936,                0.55407,                 1.3142,               0.005149,               0.005149,               0.005149
                     51,                 1.0861,                0.83301,                 1.3717,                0.92792,                 0.9461,                0.97935,                 0.7383,                0.92072,                 0.5427,                 1.3026,                0.00505,                0.00505,                0.00505
                     52,                 1.0973,                0.82417,                 1.3821,                0.92812,                0.96418,                0.97807,                0.73894,                0.90326,                0.52764,                  1.293,               0.004951,               0.004951,               0.004951
                     53,                 1.0827,                0.80922,                 1.3555,                0.94912,                 0.9461,                0.97756,                0.73951,                0.91548,                0.50493,                 1.2826,               0.004852,               0.004852,               0.004852
                     54,                 1.0657,                0.78953,                 1.3482,                0.94259,                0.96966,                0.97895,                0.74369,                0.89345,                0.51811,                 1.2453,               0.004753,               0.004753,               0.004753
                     55,                 1.0117,                0.75489,                 1.3314,                0.93291,                0.95914,                0.97663,                0.74424,                0.88537,                0.51474,                 1.2409,               0.004654,               0.004654,               0.004654
                     56,                 1.0165,                0.76795,                 1.3354,                 0.9587,                0.95894,                0.98096,                0.74884,                0.89081,                0.47996,                 1.2267,               0.004555,               0.004555,               0.004555
                     57,                 1.0064,                0.75501,                  1.316,                0.95666,                0.95158,                 0.9826,                0.76323,                0.85538,                0.48841,                 1.1983,               0.004456,               0.004456,               0.004456
                     58,                 1.0271,                0.76631,                 1.3243,                0.95282,                 0.9546,                0.98057,                0.76513,                0.84473,                0.49221,                 1.1804,               0.004357,               0.004357,               0.004357
                     59,                   1.02,                0.75692,                 1.3136,                0.95626,                0.96271,                0.98049,                0.77812,                0.81333,                0.47796,                  1.179,               0.004258,               0.004258,               0.004258
                     60,                0.98229,                 0.7253,                 1.2959,                0.96209,                0.96312,                0.98451,                0.78344,                0.80441,                0.45783,                 1.1763,               0.004159,               0.004159,               0.004159
                     61,                0.99322,                0.72416,                 1.3024,                0.96011,                0.96492,                0.98592,                0.78211,                0.81429,                0.45831,                  1.187,                0.00406,                0.00406,                0.00406
                     62,                0.99654,                0.72677,                 1.3287,                0.97312,                 0.9713,                0.98727,                0.78773,                0.80043,                0.44199,                 1.1898,               0.003961,               0.003961,               0.003961
                     63,                0.97984,                0.69572,                 1.3016,                 0.9733,                0.97627,                0.98661,                0.79853,                0.75736,                0.42038,                  1.158,               0.003862,               0.003862,               0.003862
                     64,                0.95268,                0.71435,                 1.2994,                0.97612,                0.96493,                0.98664,                0.78637,                 0.7906,                0.44112,                 1.1778,               0.003763,               0.003763,               0.003763
                     65,                0.99098,                0.70931,                 1.3046,                0.97513,                0.98025,                0.98772,                0.79857,                 0.7575,                0.42107,                 1.1514,               0.003664,               0.003664,               0.003664
                     66,                0.93191,                0.68101,                 1.2859,                0.97366,                0.97979,                0.98797,                 0.8021,                 0.7591,                0.41835,                 1.1548,               0.003565,               0.003565,               0.003565
                     67,                0.93552,                0.66619,                 1.2777,                 0.9655,                0.97751,                0.98774,                0.80837,                0.75375,                0.43259,                 1.1395,               0.003466,               0.003466,               0.003466
                     68,                0.91079,                0.64515,                 1.2623,                0.95863,                0.97861,                0.98327,                0.80089,                0.73365,                0.42242,                 1.1268,               0.003367,               0.003367,               0.003367
                     69,                0.92519,                0.65577,                 1.2693,                0.96075,                0.98238,                0.98841,                  0.805,                0.72595,                 0.4125,                 1.1263,               0.003268,               0.003268,               0.003268
                     70,                0.90272,                0.64176,                 1.2657,                0.96679,                0.98373,                0.98941,                0.81161,                0.72034,                0.40374,                 1.1421,               0.003169,               0.003169,               0.003169
                     71,                0.89094,                0.63293,                 1.2591,                0.97596,                0.98825,                0.99038,                 0.8213,                0.70249,                0.37976,                 1.1264,                0.00307,                0.00307,                0.00307
                     72,                0.90304,                0.62981,                 1.2474,                0.97813,                0.97938,                0.99051,                0.82605,                0.67505,                0.38138,                 1.0972,               0.002971,               0.002971,               0.002971
                     73,                0.88192,                0.62144,                 1.2442,                0.97186,                0.98875,                0.99038,                0.82561,                0.68624,                0.37496,                 1.1076,               0.002872,               0.002872,               0.002872
                     74,                0.90606,                0.63684,                 1.2606,                0.97393,                0.98076,                0.99007,                0.82503,                0.69922,                 0.3811,                  1.125,               0.002773,               0.002773,               0.002773
                     75,                0.87157,                0.61779,                 1.2491,                0.97669,                0.98406,                 0.9907,                0.83045,                0.67386,                0.37228,                  1.107,               0.002674,               0.002674,               0.002674
                     76,                0.87813,                0.62325,                 1.2477,                0.97435,                0.98651,                0.99052,                0.83505,                0.66301,                0.36527,                 1.1019,               0.002575,               0.002575,               0.002575
                     77,                0.85016,                0.60422,                 1.2265,                0.98476,                0.97446,                0.99028,                0.82364,                0.67696,                 0.3625,                 1.1032,               0.002476,               0.002476,               0.002476
                     78,                0.84463,                0.62821,                 1.2375,                0.97656,                0.98761,                0.99014,                0.83735,                0.64733,                0.35072,                 1.0833,               0.002377,               0.002377,               0.002377
